Line Scheme	Meter Scheme	PoemID	Poet	Title	Year	constraint_SUM_VIOL	constraint_footmin-s-noHX	constraint_footmin-wordbound-lexmono	constraint_skip_initial_foot	constraint_strength.w=>-p	line	line_is_in_nonbounded_parses	line_iscorrect	line_iscorrect_dummy	line_iscorrect_dummy_iambic	line_iscorrect_human2	line_num	meter_info	num_sylls	num_sylls_correct	num_sylls_correct_control	num_sylls_correct_control_iambic	num_sylls_correct_human2	parse	parse_comp	parse_human	parse_human2	parse_str_compu	parse_str_human	parse_str_stress	parses_comp_nonbounded	perc_sylls_correct	perc_sylls_correct_control	perc_sylls_correct_control_iambic	perc_sylls_correct_human2	prosody_ipa	prosody_stress
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	I am monarch of all I survey,	1	0	1	0	1	(1, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	5	9	4	9	wwswwswws	swswswsws	wwswwswws	wwswwswws	I  am  MON  arch  OF  all  I  sur  VEY	i  am  MON  arch  of  ALL  i  sur  VEY	I  am  MON  ARCH  of  ALL  I  sur  VEY	swswswsws | swswwswsw | swsswswsw | swwswswsw | swswwswws | swsswswws | swwswswws | swsswwsws | swwswwsws | swswswwsw | wwswswsws | wwswwswsw | wwsswswsw | wwswwswws | wwsswswws | wwsswwsws | wwswswwsw	0.555555555556	1.0	0.444444444444	1.0	`aɪ æm `mɑ.'nɑrk ʌv `ɔːl `aɪ sɛː.`veɪ	P U PS U P P UP
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	My right there is none to dispute,	1	0	0	0	1	(2, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	4	3	5	8	wswwswws	swswswss	wswwswws	wswwswws	MY  right  THERE  is  NONE  to  DIS  PUTE	my  RIGHT  there  is  NONE  to  dis  PUTE	my  RIGHT  there  is  NONE  to  dis  PUTE	swswswss | swswswws | wswswsws | wswwswss | wswwswws	0.5	0.375	0.625	1.0	maɪ `raɪt ðɛr ɪz `nən tuː dɪ.`spjuːt	U P U U P U UP
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	From the centre all round to the sea,	1	0	1	0	1	(3, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	5	9	4	9	wwswwswws	swswswsws	wwswwswws	wwswwswws	FROM  the  CEN  tre  ALL  round  TO  the  SEA	from  the  CEN  tre  all  ROUND  to  the  SEA	from  the  CEN  tre  ALL  ROUND  to  the  SEA	swswswsws | swwswswsw | swwswswws | wwswswsws | swswswwsw | wwswswwsw | swswwswsw | swswwswws | wwswwswsw | wwswwswws | swwswwsws	0.555555555556	1.0	0.444444444444	1.0	frʌm ðə `sɛn.tɛː `ɔːl `raʊnd tuː ðə `siː	U U PU P P U U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	I am lord of the fowl and the brute.	1	0	1	0	1	(4, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	5	9	4	9	wwswwswws	swswswsws	wwswwswws	wwswwswws	I  am  LORD  of  THE  fowl  AND  the  BRUTE	i  am  LORD  of  the  FOWL  and  the  BRUTE	I  am  LORD  of  the  FOWL  and  the  BRUTE	swswswsws | swswwswsw | swswwswws | wswswswsw | wswswswws | wwswswsws | wwswwswsw | wwswwswws	0.555555555556	1.0	0.444444444444	1.0	`aɪ æm `lɔːrd ʌv ðə `faʊl ænd ðə `bruːt	P U P U U P U U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	O solitude! where are the charms	0	0	0	0	1	(5, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	2	3	5	8	wswwswws	swsswsws	wswwswws	wswwswws	O  so  LI  TUDE  where  ARE  the  CHARMS	o  SO  li  tude  WHERE  are  the  CHARMS	o  SO  li  TUDE  WHERE  are  the  CHARMS	swsswsws | swwswsws | wswswsws | wwsswsws | swsswwsw | swwswwsw | wswswwsw | wwsswwsw	0.25	0.375	0.625	1.0	oʊ `sɑ.lə.'tuːd `wɛr ɑr ðə `ʧɑrmz	U PUS P U U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	That sages have seen in thy face?	1	0	0	0	1	(6, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	3	3	5	8	wswwswws	swswswsw	wswwswws	wswwswws	THAT  sag  ES  have  SEEN  in  THY  face	that  SAG  es  have  SEEN  in  thy  FACE	THAT  SAG  es  HAVE  SEEN  in  thy  FACE	swswswsw | swswswws | swwswsws | wswswsws | wswwswsw | wswwswws | wwswswsw | wwswswws	0.375	0.375	0.625	1.0	`ðæt `seɪ.ʤɪz `hæv `siːn ɪn ðaɪ `feɪs	P PU P P U U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	Better dwell in the midst of alarms,	1	0	0	0	0	(7, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	6	8	3	8	swswwswws	swswswsws	swswwswws	wwswwswws	BET  ter  DWELL  in  THE  midst  OF  ala  RMS	BET  ter  DWELL  in  the  MIDST  of  ala  RMS	BET  ter  DWELL  in  the  MIDST  of  ala  RMS	swswswsws | swswwswss | swswwswws | sswswswss | sswswswws | wswswswss | wswswswws | wwswswsws | wwswwswss | wwswwswws	0.666666666667	0.888888888889	0.333333333333	0.888888888889	`bɛ.tɛː `dwɛl ɪn ðə `mɪdst ʌv ə.`lɑrmz	PU P U U P U UP
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	Than reign in this horrible place.	1	0	0	0	1	(8, 1)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	3	3	5	8	wswwswws	swswswsw	wswwswws	wswwswws	THAN  reign  IN  this  HOR  ri  BLE  place	than  REIGN  in  this  HOR  ri  ble  PLACE	than  REIGN  in  this  HOR  ri  ble  PLACE	swswswsw | swswswws | wswwswsw | wswwswws	0.375	0.375	0.625	1.0	ðæn `reɪn ɪn ðɪs `hɔː.rə.bəl `pleɪs	U P U U PUU P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	I am out of humanity's reach,	1	0	1	0	1	(9, 2)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	6	9	4	9	wwswwswws	swswwswsw	wwswwswws	wwswwswws	I  am  OUT  of  hu  MAN  i  TY'S  reach	i  am  OUT  of  hu  MAN  i  ty's  REACH	I  am  out  of  hu  MAN  i  ty's  REACH	swswwswsw | swswwswws | swswwssws | swwswswsw | swwswswws | swwswssws | wswswswsw | wswswswws | wswswssws | wwswwswsw | wwswwswws | wwswwssws	0.666666666667	1.0	0.444444444444	1.0	`aɪ æm aʊt ʌv hjuː.`mæ.nɪ.tiːz `riːʧ	P U U U UPUU P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	0	0	0	0	0	I must finish my journey alone,	0	0	1	0	1	(10, 2)	<<Meter  ID: kiparskyhanson_shakespeare  Name: Shakespeare's Meter [Kiparsky and Hanson] [strength.w=>-p on minimal feet]  Constraints:    [*footmin-s-noHX/1000.0] [*footmin-wordbound-lexmono/1000.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1000.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	7	9	4	9	wwswwswws	swswwswss	wwswwswws	wwswwswws	I  must  FIN  ish  my  JOUR  ney  AL  ONE	i  must  FIN  ish  my  JOUR  ney  al  ONE	I  MUST  FIN  ish  my  JOUR  ney  al  ONE	swswwswss | swsswswss | swwswswss | wwswwswss | wwsswswss	0.777777777778	1.0	0.444444444444	1.0	`aɪ `məst `fɪ.nɪʃ maɪ `ʤɛː.niː ə.`loʊn	P P PU U PU UP
