			[*skip_initial_foot]	[*footmin-s-noHX]	[*strength.w=>-p]	[*footmin-wordbound-lexmono]
I am monarch of all I survey,	i.am|MON|arch.of|ALL|i.sur|VEY	2				
	I|am|MON|arch|OF|all|I|sur|VEY					
	I|am|MON|arch.of|ALL|i|SUR|vey					
	I|am|MON.ARCH|of|ALL|i|SUR|vey					
	I|am.mon|ARCH|of|ALL|i|SUR|vey					
	I|am|MON|arch.of|ALL|i.sur|VEY					
	I|am|MON.ARCH|of|ALL|i.sur|VEY					
	I|am.mon|ARCH|of|ALL|i.sur|VEY					
	I|am|MON.ARCH|of.all|I|sur|VEY					
	I|am.mon|ARCH|of.all|I|sur|VEY					
	I|am|MON|arch|OF|all.i|SUR|vey					
	i.am|MON|arch|OF|all|I|sur|VEY					
	i.am|MON|arch.of|ALL|i|SUR|vey					
	i.am|MON.ARCH|of|ALL|i|SUR|vey					
	i.am|MON.ARCH|of|ALL|i.sur|VEY					
	i.am|MON.ARCH|of.all|I|sur|VEY					
	i.am|MON|arch|OF|all.i|SUR|vey					
My right there is none to dispute,	my|RIGHT|there.is|NONE|to.dis|PUTE	2				
	MY|right|THERE|is|NONE|to|DIS.PUTE					
	MY|right|THERE|is|NONE|to.dis|PUTE					
	my|RIGHT|there|IS|none|TO|dis|PUTE					
	my|RIGHT|there.is|NONE|to|DIS.PUTE					
From the centre all round to the sea,	from.the|CEN|tre.all|ROUND|to.the|SEA	2				
	FROM|the|CEN|tre|ALL|round|TO|the|SEA					
	FROM|the.cen|TRE|all|ROUND|to|THE|sea					
	FROM|the.cen|TRE|all|ROUND|to.the|SEA					
	from.the|CEN|tre|ALL|round|TO|the|SEA					
	FROM|the|CEN|tre|ALL|round.to|THE|sea					
	from.the|CEN|tre|ALL|round.to|THE|sea					
	FROM|the|CEN|tre.all|ROUND|to|THE|sea					
	FROM|the|CEN|tre.all|ROUND|to.the|SEA					
	from.the|CEN|tre.all|ROUND|to|THE|sea					
	FROM|the.cen|TRE|all.round|TO|the|SEA					
I am lord of the fowl and the brute.	i.am|LORD|of.the|FOWL|and.the|BRUTE	2				
	I|am|LORD|of|THE|fowl|AND|the|BRUTE					
	I|am|LORD|of.the|FOWL|and|THE|brute					
	I|am|LORD|of.the|FOWL|and.the|BRUTE					
	i|AM|lord|OF|the|FOWL|and|THE|brute					
	i|AM|lord|OF|the|FOWL|and.the|BRUTE					
	i.am|LORD|of|THE|fowl|AND|the|BRUTE					
	i.am|LORD|of.the|FOWL|and|THE|brute					
O solitude! where are the charms	O|so|LI.TUDE|where|ARE|the|CHARMS					
	O|so.li|TUDE|where|ARE|the|CHARMS					
	o|SO|li|TUDE|where|ARE|the|CHARMS					
	o.so|LI.TUDE|where|ARE|the|CHARMS					
	O|so|LI.TUDE|where.are|THE|charms					
	O|so.li|TUDE|where.are|THE|charms					
	o|SO|li|TUDE|where.are|THE|charms					
	o.so|LI.TUDE|where.are|THE|charms					
That sages have seen in thy face?	that|SAG|es.have|SEEN|in.thy|FACE	2				
	THAT|sag|ES|have|SEEN|in|THY|face					
	THAT|sag|ES|have|SEEN|in.thy|FACE					
	THAT|sag.es|HAVE|seen|IN|thy|FACE					
	that|SAG|es|HAVE|seen|IN|thy|FACE					
	that|SAG|es.have|SEEN|in|THY|face					
	that.sag|ES|have|SEEN|in|THY|face					
	that.sag|ES|have|SEEN|in.thy|FACE					
Better dwell in the midst of alarms,	BET|ter|DWELL|in.the|MIDST|of.ala|RMS	1				
